attention_entropy,attention_expected_lookback,attention_non_adjacent_mass,box_violations,cell_accuracy,column_violations,exact_accuracy,incorrect_cells,intervention,parameters,peak_vram_bytes,row_violations,seed,throughput_examples_per_second,variant,wall_time_seconds
1.229985020433863,3.1858050587276616,0.6958900634199381,7.26,0.6596790123456789,7.069,0.019,27.566,delete_least_attended,1775619,133476864,7.085,0,27.818022464769967,P1ns,46.64807683399704
1.2384379748255014,3.068617062022289,0.6804209956899285,7.096,0.6710246913580247,6.91,0.022,26.647,delete_most_attended,1775619,133476864,6.946,0,28.880216753310005,P1ns,45.32992963900324
1.456618348757426,3.29682615151008,0.7084360060592493,7.068,0.6752592592592592,6.849,0.032,26.304,gaussian_0.05,1775619,140940288,6.875,0,29.036640420045117,P1ns,45.15265625399479
1.4564875674744446,3.2968382673958936,0.7084430009126663,7.075,0.6749382716049382,6.867,0.031,26.33,gaussian_0.10,1775619,141171712,6.889,0,28.95863568225854,P1ns,45.20221120600763
1.4561362564563751,3.296769799043735,0.7084324546158314,7.068,0.6751728395061729,6.865,0.032,26.311,gaussian_0.20,1775619,141171712,6.882,0,28.721084874308467,P1ns,45.48856533100479
1.4568005930632353,3.2965785960356393,0.7084141693388423,7.072,0.675320987654321,6.875,0.032,26.299,clean,1775619,135576064,6.873,0,30.175250827759328,P1ns,43.87380883100559
