attention_entropy_mean,attention_entropy_std,attention_expected_lookback_mean,attention_expected_lookback_std,attention_non_adjacent_mass_mean,attention_non_adjacent_mass_std,box_violations_mean,box_violations_std,cell_accuracy_mean,cell_accuracy_std,column_violations_mean,column_violations_std,exact_accuracy_mean,exact_accuracy_std,incorrect_cells_mean,incorrect_cells_std,intervention,parameters_mean,parameters_std,peak_vram_bytes_mean,peak_vram_bytes_std,row_violations_mean,row_violations_std,seed_count,throughput_examples_per_second_mean,throughput_examples_per_second_std,variant,wall_time_seconds_mean,wall_time_seconds_std
,,,,,,7.436999999999999,0.7735748186180832,0.6547839506172848,0.021815553656607308,7.3309999999999995,1.0861160159025374,0.014,0.00282842712474619,27.9625,1.7670598461851814,clean,1710082.0,0.0,97803776.0,0.0,7.0865,0.7120565286548531,2,66.84766710423617,0.19929245464929954,B0,23.461437965976074,0.4469912471238334
,,,,,,7.4375,0.7771103525240158,0.6546604938271612,0.02183301308330315,7.327999999999999,1.1059150057757596,0.014,0.00282842712474619,27.9725,1.7684740597475537,gaussian_0.05,1710082.0,0.0,101244928.0,0.0,7.083500000000001,0.6922575387816301,2,70.09175083850155,0.6784156759000746,B0,22.744153388543054,0.576587971261055
,,,,,,7.437,0.786302740679441,0.6548086419753092,0.02200760735026307,7.3215,1.0995510447450818,0.014,0.00282842712474619,27.9605,1.782616195371287,gaussian_0.10,1710082.0,0.0,101244928.0,0.0,7.0785,0.714884955779599,2,69.86388614042204,1.0217723710737971,B0,22.745393675984815,0.5095053217845051
,,,,,,7.4385,0.7657966440250311,0.6544320987654331,0.021981418210219345,7.330500000000001,1.1037936854322012,0.014,0.00282842712474619,27.991,1.7804948750277272,gaussian_0.20,1710082.0,0.0,101244928.0,0.0,7.073,0.7127636354360399,2,68.82066758446473,2.268378918984834,B0,23.10627966420725,1.0087698589526608
,,,,,,7.4845,0.48719657223753127,0.6544320987654312,0.007559931759352226,7.452999999999999,0.5444722215136419,0.013999999999999999,0.0014142135623730952,27.991,0.6123544725075499,clean,1775619.0,0.0,99426304.0,0.0,7.103,0.342239682094289,2,60.01590234623119,0.9227891741114439,B3,25.021173232933506,0.6359826661257487
,,,,,,7.4905,0.4673975823643076,0.654345679012345,0.0073853374923931675,7.449999999999999,0.5317442994522836,0.013999999999999999,0.0014142135623730952,27.997999999999998,0.5982123368838193,gaussian_0.05,1775619.0,0.0,102605312.0,0.0,7.102,0.34789653634378137,2,59.477195376131625,0.35136642616390273,B3,25.262920413864776,0.38852623007777093
,,,,,,7.4945,0.47588286373854655,0.6540802469135791,0.007533742619308579,7.454000000000001,0.5388153672641489,0.013999999999999999,0.0014142135623730952,28.0195,0.6102331521639902,gaussian_0.10,1775619.0,0.0,102605312.0,0.0,7.0985,0.3655742058734453,2,59.14375904769842,1.0963334348011227,B3,25.33979638828896,0.6125024283053854
,,,,,,7.496,0.47234732983261385,0.6540493827160485,0.007367878065697325,7.4535,0.5366940469205899,0.013999999999999999,0.0014142135623730952,28.022,0.5967981233214444,gaussian_0.20,1775619.0,0.0,102605312.0,0.0,7.112,0.3535533905932738,2,59.16680572712526,0.8839469683096164,B3,25.380753764649853,0.6265018372617999
,,,,,,7.247,0.11172287142747414,0.6616543209876544,0.004521991514254426,7.0575,0.24253762594698577,0.016,0.0028284271247461888,27.406,0.3662813126546321,clean,1710083.0,0.0,112258048.0,0.0,6.8555,0.1364716087690034,2,60.25190657337454,0.46531690311168905,Gated,25.158478571102023,0.4323908553885177
,,,,,,7.246499999999999,0.11242997820866092,0.6619938271604938,0.004635477787778544,7.0489999999999995,0.247487373415292,0.0165,0.003535533905932737,27.3785,0.3754737008100559,gaussian_0.05,1710083.0,0.0,115568128.0,185363.80004736633,6.861000000000001,0.14142135623730964,2,53.64782062037112,10.887134317911903,Gated,29.303344287676737,6.714468673008389
,,,,,,7.252,0.10606601717798238,0.6618333333333335,0.004373586387339015,7.057,0.24324473272817257,0.015,0.0028284271247461914,27.3915,0.3542604973744612,gaussian_0.10,1710083.0,0.0,115568128.0,185363.80004736633,6.8735,0.14778531726798816,2,55.299265606491744,9.71151801497352,Gated,28.026101759634912,5.431587031391693
,,,,,,7.242,0.11879393923933947,0.6620493827160494,0.004923558328261563,7.062,0.2446589462905455,0.016,0.004242640687119285,27.374,0.39880822458921283,gaussian_0.20,1710083.0,0.0,115568128.0,185363.80004736633,6.8614999999999995,0.17041273426595835,2,61.30151011202851,0.40730497480336253,Gated,24.750131592852995,0.3819318893787299
1.0189673368198178,0.02412447961969196,2.3035127123196917,0.0030506503593726933,0.6003418578766286,0.0038817412114660397,7.6675,0.7318555185280768,0.6499814814814818,0.027262894785748084,7.605,1.0649028124669409,0.011,0.009899494936611665,28.3515,2.208294477645589,clean,1775619.0,0.0,99093504.0,0.0,7.401999999999999,0.7537758287448596,2,30.928885862438996,0.937443371599212,P1,40.91095010517165,1.6546006252022771
0.740944590807582,0.013053857032175627,2.298200933883588,0.04222216317306442,0.6161429282898704,0.01863680430755489,7.6655,0.7162991693419732,0.6500925925925927,0.026756571411565025,7.615,1.056417531092702,0.011,0.009899494936611665,28.3425,2.167282284336769,delete_least_attended,1775619.0,0.0,99093504.0,0.0,7.396,0.7608468965567254,2,30.49699292122636,0.07357856503368787,P1,41.18636592035182,0.5023101277105587
0.763513402082026,0.007606135944610045,2.16074479619662,0.0036474005629634804,0.5822234537918121,0.0036465331500891538,7.6815,0.7063996744053601,0.6499691358024697,0.02651213943782228,7.628,1.056417531092702,0.011000000000000001,0.008485281374238571,28.3525,2.147483294463544,delete_most_attended,1775619.0,0.0,99093504.0,0.0,7.401,0.7396336931211289,2,27.13706228850608,5.641609653069331,P1,47.923646880546585,10.961762794330307
1.0185863001582522,0.024464361464736645,2.303718823939562,0.0032526812777093498,0.6004016813822091,0.003932064109558323,7.673,0.7240773439350253,0.6498703703703708,0.026756571411565497,7.607,1.080459161653045,0.0115,0.010606601717798213,28.360500000000002,2.167282284336769,gaussian_0.05,1775619.0,0.0,103587328.0,857307.5752190693,7.401,0.759432682994352,2,32.35390222978953,0.4814833925017654,P1,39.37442529643886,1.1605710111104017
1.0175983410639067,0.025413654251053106,2.3037879584978027,0.0032019057400252985,0.6004341901279986,0.003923429273969653,7.675000000000001,0.7254915574973982,0.6499320987654325,0.02675657141156518,7.612,1.0917728701520297,0.011,0.009899494936611665,28.3555,2.167282284336769,gaussian_0.10,1775619.0,0.0,103587328.0,857307.5752190693,7.394,0.7679179643685908,2,31.85043469062128,1.3630487297712655,P1,39.77758103632368,2.0924154767344008
1.0145530700683594,0.028226795484780475,2.3038292552034063,0.0030929640391587332,0.6004851401473086,0.003932793118328739,7.680999999999999,0.7339768388716358,0.6500555555555558,0.026931165678525732,7.6245,1.0825804819966047,0.0115,0.010606601717798213,28.3455,2.1814244199604995,gaussian_0.20,1775619.0,0.0,103587328.0,857307.5752190693,7.3945,0.7799387796487617,2,32.03449051298514,0.9890326366955123,P1,39.66323200892657,1.5183079495826108
